,item_num,item_name,rec,financial_implications,contact
18,19,"Contract No. 32300022 Amendment: Public Safety Family Counseling Group Inc. for Additional Critical Incident Stress Management (CISM), Education and Counseling Services","Adopt a Resolution authorizing the City Manager to execute an amendment to Contract No. 32300022 with Public Safety Family Counseling Group Inc. to provide additional CISM Peer Support Team support, education and counselling services, for a total amount not to exceed $150,000 for a total contract amount not to exceed $200,000, and extending the term through June 30, 2026.",See report,"Jennifer Louis, Police, (510) 981-5900"
19,20,Conduct a Study on the City’s History of Discriminatory Actions in Housing Policies/Programs,"Conduct a study that is comprehensive of the following actions: -Document the city of Berkeley’s past discriminatory actions in housing policies and programs that adversely impacted the Black community and its ability to remain and grow in the city, build inter-generational wealth, and fully realize the benefits of homeownership; -Inform future housing policy and program development and implementation to address these historic discriminatory practices; and -Provide data and information about historic discriminatory housing policies and programs in support of the city’s on-going reparations work. -Select community organization(s) as partners in the study to ensure a comprehensive community engagement process that documents lived experiences and local history so that lessons learned from those experiences can inform future housing policies and programs.",See report,"Mike Uberti, Commission Secretary, (510) 981-7400"
20,21,Berkeley Housing Authority Board of Commissioners Re-Appointments,"Adopt a Resolution re-appointing Alexandria Thomas-Rodriguez, Max Levine and Ali Kashani to the Berkeley Housing Authority Board of Commissioners.",None,"Jesse Arreguin, Mayor, (510) 981-7100"
21,22,Support Rooftop Solar and Battery Storage for Multifamily Housing and Schools,"Adopt a Resolution in support of viable Virtual Net Energy Metering (VNEM) and Net Energy Metering Aggregation (NEM-A) tariffs. Submit a copy of the Resolution to Governor Gavin Newsom, State Senator Nancy Skinner, Assemblymember Buffy Wicks, and members of the California Public Utilities Commission Board (CPUC).",Staff time,"Jesse Arreguin, Mayor, (510) 981-7100"
22,23,Relinquishment of Council Office Budget Funds for Chavez/Huerta Tribute Site,"Adopt a Resolution approving the expenditure of up to $5,000 from Mayor Arreguín, and any other Councilmembers, to the Kala Art Institute, the fiscal sponsor for the Chavez/Huerta Tribute Site, with funds relinquished from the City’s General Fund for the purpose of hiring of grounds keepers and providing the resources needed for the maintenance of the Chavez/Huerta Tribute Site, from the discretionary Council Office Budgets of Mayor Arreguín and any other Councilmembers who would like to contribute.","$5,000 – Mayor’s Discretionary Fund","Jesse Arreguin, Mayor, (510) 981-7100"
23,24,Excused Absence for Vice Mayor Ben Bartlett,"Excuse Vice Mayor Ben Bartlett from the June 6, 2023 Council meeting as a result of an illness of a close family member who needed immediate care.",None,"Jesse Arreguin, Mayor, (510) 981-7100"
24,25,Berkeley Humane: Bark (& Meow) Around the Block: Relinquishment of Council Office Budget Funds from General Funds and Grant of Such Funds,"Adopt a Resolution approving the expenditure of council office budget funds, including $500 from Councilmember Taplin, to support the Bark (& Meow) Around the Block adoption event hosted by Berkeley Humane, with funds relinquished to the City’s general fund.",$500 – Councilmember’s Discretionary Fund,"Terry Taplin, Councilmember, District 2, (510) 981-7120"
25,26,Berkeley High School All Class Reunion: Relinquishment of Council Office Budget Funds from General Funds and Grant of Such Funds,"Adopt a Resolution approving the expenditure of council office budget funds, including $500 from Councilmember Taplin, to support the Berkeley High School All Class Reunion Committee (BHS ACRC) by way of its fiscal sponsor, the Berkeley Public Schools Fund, with funds relinquished to the City’s general fund.",$500 – Councilmember’s Discretionary Fund,"Terry Taplin, Councilmember, District 2, (510) 981-7120"
26,27,Resolution for unionized employees of REI,"Adopt a Resolution of Support for the unionized employees of Recreational Equipment, Inc. (REI) in Berkeley, California that instructs REI to live up to its values, by ceasing to withhold the 2022 “Summit Pay”, and bargain in good faith.",None,"Ben Bartlett, Councilmember, District 3, (510) 981-7130"
27,28,Relinquishment of Council Office Budget Funds and Co-Sponsorship of the César Chávez Dolores Huerta Tribute Site Curriculum Project,"Adopt a resolution approving an expenditure of D13 funds and cosponsorship of the César Chávez/Dolores Huerta Tribute Site Curriculum Project, with $250 relinquished to the City’s general fund for this purpose each from Mayor Arreguín’s and Councilmember Harrison’s discretionary Council Office Budget Funds, and from any other Councilmembers who would like to contribute.",$250 – Councilmembers’ Discretionary Fund,"Kate Harrison, Councilmember, District 4, (510) 981-7140"
28,29,Resolution Opposing Tokyo Electric Power Company and the Government of Japan’s Planned Discharge of Wastewater from Fukushima Daiichi Nuclear Power Plant into the Pacific Ocean,"Adopt a Resolution opposing Tokyo Electric Power Company (TEPCO) and the government of Japan’s plan to discharge wastewater from Fukushima Daiichi Nuclear Power Plant into the Pacific Ocean and send copies of this resolution to Secretary Blinken, Senator Dianne Feinstein, Senator Alex Padilla, and Representative Barbara Lee.",Staff time,"Kate Harrison, Councilmember, District 4, (510) 981-7140"
29,31,Staff Shortages: City Services Constrained by Staff Retention Challenges and Delayed Hiring,"We recommend City Council request that the City Manager report back by January 2024, and every six months thereafter, regarding the status of our audit recommendations until reported fully implemented. Some of our recommendations include: establish retention goals and conduct an analysis of staff needed for city operations and services; consider staff capacity around new legislation; take steps to improve employee satisfaction; identify opportunities for efficiency in the hiring process, and modernize its recruiting process; expand the telework policy to align with best practices; and regularly collect data on employee satisfaction and on diversity, equity, inclusion, and accessibility.",See report,"Jenny Wong, Auditor, (510) 981-6750"
30,32,Referral Response: Affordable Housing Preference Policy for Rental Housing Created Through the Below Market Rate and Housing Trust Fund Programs,"Adopt a Resolution to create an Affordable Housing Preference Policy applicable to new residential housing units created via the Below Market-Rate (BMR) and the Housing Trust Fund (HTF) programs consistent with Fair Housing law and government funder approvals, and direct the City Manager to adopt guidelines to administer the Housing Preference Policy.",See report.,"Lisa Warhuus, Health, Housing, and Community Services, (510) 981-5400"
31,33,Adoption - Civic Center Phase II - Design Concept,"Adopt a Resolution approving Berkeley’s Civic Center Design Concept Plan, and declaring Council’s intention to support the preferred design concept and necessary future studies and projects articulated in the plan.",See report.,"Liam Garland, Public Works, (510) 981-6300"
32,35,De-Prioritizing the enforcement of laws imposing criminal penalties for Entheogenic/Psychedelic plants and fungi for personal use,"Approve the Resolution presented and passed with a qualified positive recommendation at the June 12, 2023 meeting of the Health, Life Enrichment, Equity & Community Committee (Attachment 1), in lieu of the Resolutions provided in the originally referred item and by the Community Health Commission.Policy Committee Recommendation: to send the item to Council with a qualified positive recommendation to approve the Resolution in the form and as amended by the committee. There is no “mark-up” of the CHC resolution because what the Committee decided to pass is a full rewrite.",None,"Sophie Hahn, Councilmember, District 5, (510) 981-7150, Ben Bartlett, Councilmember, District 3, (510) 981-7130, Mark Humbert, Councilmember, District 8, (510) 981-7180"
